Timestamp,Bid Ask Ratio
2024-10-30 05:53:15,0.8
2024-10-30 06:03:16,0.86
2024-10-30 06:13:18,0.47
2024-10-30 06:23:20,0.44
2024-10-30 06:33:22,0.41
2024-10-30 06:43:24,0.44
2024-10-30 06:53:26,0.61
2024-10-30 07:03:28,0.47
2024-10-30 07:13:30,0.36
2024-10-30 07:23:32,0.38
2024-10-30 07:33:34,0.47
2024-10-30 07:43:36,0.47
2024-10-30 07:53:37,0.45
2024-10-30 08:03:39,0.43
2024-10-30 08:13:41,0.43
2024-10-30 08:23:43,0.45
2024-10-30 08:33:45,0.43
2024-10-30 08:43:47,0.42
2024-10-30 08:53:49,0.79
2024-10-30 09:03:51,0.89
2024-10-30 09:13:53,0.49
2024-10-30 09:23:55,0.45
2024-10-30 09:33:57,0.41
2024-10-30 09:43:59,0.44
2024-10-30 09:54:01,0.43
2024-10-30 10:04:03,0.77
2024-10-30 10:14:04,0.91
2024-10-30 10:24:06,0.47
2024-10-30 10:34:08,0.42
2024-10-30 10:44:10,0.41
2024-10-30 10:54:12,0.48
2024-10-30 11:04:14,0.38
2024-10-30 11:14:17,0.35
2024-10-30 11:24:19,0.33
2024-10-30 11:34:21,0.38
2024-10-30 11:44:23,0.41
2024-10-30 11:54:25,0.41
2024-10-30 12:04:27,0.41
2024-10-30 12:14:29,0.37
2024-10-30 12:24:30,0.38
2024-10-30 12:34:33,0.65
2024-10-30 12:44:35,0.64
2024-10-30 12:54:37,0.59
2024-10-30 13:04:38,0.6
2024-10-30 13:14:41,0.6
2024-10-30 13:24:43,0.6
2024-10-30 13:34:45,0.51
2024-10-30 13:44:47,0.55
2024-10-30 13:54:48,0.56
2024-10-30 14:04:50,0.57
2024-10-30 14:14:52,0.68
2024-10-30 14:24:55,0.64
2024-10-30 14:34:57,0.63
2024-10-30 14:44:59,0.6
2024-10-30 14:55:00,0.6
2024-10-30 15:05:03,0.62
2024-10-30 15:15:05,0.91
2024-10-30 15:25:07,0.63
2024-10-30 15:35:09,0.88
2024-10-30 15:45:11,0.7
2024-10-30 15:55:13,0.77
2024-10-30 16:05:15,0.65
2024-10-30 16:15:17,0.89
2024-10-30 16:25:19,0.84
2024-10-30 16:35:21,0.78
2024-10-30 16:45:23,0.84
2024-10-30 16:55:24,0.85
2024-10-30 17:05:26,0.94
2024-10-30 17:15:28,0.72
2024-10-30 17:25:30,0.72
2024-10-30 17:35:32,0.66
2024-10-30 17:45:35,0.67
2024-10-30 17:55:36,0.63
2024-10-30 18:05:39,0.65
2024-10-30 18:15:41,0.63
2024-10-30 18:25:43,0.9
2024-10-30 18:35:45,0.7
2024-10-30 18:45:47,1.03
2024-10-30 18:55:49,1.02
2024-10-30 19:05:51,1.15
2024-10-30 19:15:53,0.82
2024-10-30 19:25:55,0.96
2024-10-30 19:35:56,0.8
2024-10-30 19:45:58,0.72
2024-10-30 19:56:00,0.69
2024-10-30 20:06:02,0.56
2024-10-30 20:16:04,0.61
2024-10-30 20:26:06,0.77
2024-10-30 20:36:08,0.79
2024-10-30 20:46:10,0.96
2024-10-30 20:56:12,0.6
2024-10-30 21:06:13,0.5
2024-10-30 21:16:16,1.06
2024-10-30 21:26:18,0.59
2024-10-30 21:36:20,0.63
2024-10-30 21:46:22,0.29
2024-10-30 21:56:23,0.2
2024-10-30 22:06:25,0.19
2024-10-30 22:16:27,0.29
2024-10-30 22:26:29,0.38
2024-10-30 22:36:31,0.34
2024-10-30 22:46:33,1.03
2024-10-30 22:56:35,1.32
2024-10-30 23:06:37,0.53
2024-10-30 23:16:39,0.45
2024-10-30 23:26:41,0.34
2024-10-30 23:36:43,0.42
2024-10-30 23:46:45,0.42
2024-10-30 23:56:47,0.43
2024-10-31 00:06:49,0.42
2024-10-31 00:16:51,0.4
2024-10-31 00:26:53,0.35
2024-10-31 00:36:54,0.32
2024-10-31 00:46:57,0.32
2024-10-31 00:56:58,0.32
2024-10-31 01:07:00,0.36
2024-10-31 01:17:03,0.38
2024-10-31 01:27:05,0.42
2024-10-31 01:37:08,0.92
2024-10-31 01:47:10,1.28
2024-10-31 01:57:12,1.18
2024-10-31 02:07:14,1.58
2024-10-31 02:17:16,1.35
2024-10-31 02:27:18,1.29
2024-10-31 02:37:20,1.26
2024-10-31 02:47:22,1.48
2024-10-31 02:57:24,1.19
2024-10-31 03:07:26,1.0
2024-10-31 03:17:28,1.34
2024-10-31 03:27:29,0.95
2024-10-31 03:37:31,0.41
2024-10-31 03:47:33,0.43
2024-10-31 03:57:35,0.47
2024-10-31 04:07:37,0.39
2024-10-31 04:17:39,0.36
2024-10-31 04:27:41,0.37
2024-10-31 04:37:43,0.35
2024-10-31 04:47:44,0.33
2024-10-31 04:57:46,0.37
2024-10-31 05:07:48,0.38
2024-10-31 05:17:50,0.38
2024-10-31 05:27:52,0.43
2024-10-31 05:37:54,1.02
2024-10-31 05:47:56,0.91
2024-10-31 05:57:58,0.92
2024-10-31 06:08:00,0.89
2024-10-31 06:18:02,1.21
2024-10-31 06:28:04,1.13
2024-10-31 06:38:06,1.03
2024-10-31 06:48:08,1.1
2024-10-31 06:58:11,0.95
2024-10-31 07:08:12,0.93
2024-10-31 07:18:14,0.97
2024-10-31 07:28:17,1.07
2024-10-31 07:38:19,1.29
2024-10-31 07:48:21,1.0
2024-10-31 07:58:23,1.04
2024-10-31 08:08:25,1.25
2024-10-31 08:18:27,1.21
2024-10-31 08:28:29,1.45
2024-10-31 08:38:31,0.49
2024-10-31 08:48:33,0.47
2024-10-31 08:58:35,0.5
2024-10-31 09:08:36,0.49
2024-10-31 09:18:38,0.98
2024-10-31 09:28:40,0.97
2024-10-31 09:38:42,1.08
2024-10-31 09:48:44,1.06
2024-10-31 09:58:46,1.0
2024-10-31 10:08:48,1.14
2024-10-31 10:18:50,1.13
2024-10-31 10:28:52,1.17
2024-10-31 10:38:55,0.97
2024-10-31 10:48:57,0.98
2024-10-31 10:58:58,1.06
2024-10-31 11:09:00,1.01
2024-10-31 11:19:02,1.0
2024-10-31 11:29:04,1.4
2024-10-31 11:39:06,1.33
2024-10-31 11:49:08,0.41
2024-10-31 11:59:10,0.35
2024-10-31 12:09:12,0.44
2024-10-31 12:19:14,0.42
2024-10-31 12:29:16,0.47
2024-10-31 12:39:18,0.5
2024-10-31 12:49:19,0.46
2024-10-31 12:59:22,0.47
2024-10-31 13:09:23,0.73
2024-10-31 13:19:26,0.7
2024-10-31 13:29:28,0.81
2024-10-31 13:39:30,0.81
2024-10-31 13:49:31,0.94
2024-10-31 13:59:33,1.06
2024-10-31 14:09:35,0.84
2024-10-31 14:19:37,0.71
2024-10-31 14:29:39,0.89
2024-10-31 14:39:41,1.26
2024-10-31 14:49:43,1.66
2024-10-31 14:59:45,2.06
2024-10-31 15:09:47,1.29
2024-10-31 15:19:49,1.24
2024-10-31 15:29:51,1.1
2024-10-31 15:39:53,1.26
2024-10-31 15:49:55,1.77
2024-10-31 15:59:56,1.89
